-------------------------------------------------------------------------------------
    map         source        glon          glat              ra             dec     
   18.84-0.285      1        18.8462        -0.2925       276.5975       -12.6458
   18.84-0.478      1        18.8338        -0.4779       276.7597       -12.7432
  18.842-0.378      1        18.8440        -0.3717       276.6682       -12.6847
  18.842-0.378      2        18.8535        -0.3776       276.6781       -12.6790
  18.849-0.086      1        18.8354        -0.1147       276.4311       -12.5725
  18.854+0.713      1        18.8595         0.7272       275.6810       -12.1572
  18.854+0.713      2        18.8645         0.7265       275.6840       -12.1531
  18.854+0.713      3        18.8759         0.7126       275.7020       -12.1496
  18.854+0.713      4        18.8716         0.7234       275.6903       -12.1483
  18.854+0.713      5        18.8760         0.7183       275.6969       -12.1468
   18.865-0.41      1        18.8255        -0.4667       276.7456       -12.7454
   18.865-0.41      2        18.8338        -0.4779       276.7597       -12.7432
   18.865-0.41      3        18.8620        -0.4807       276.7757       -12.7195
   18.865-0.41      4        18.8733        -0.4826       276.7829       -12.7105
   18.865-0.41      5        18.8786        -0.4663       276.7705       -12.6981
   18.865-0.41      6        18.8828        -0.4694       276.7753       -12.6959
   18.865-0.41      7        18.8889        -0.4742       276.7826       -12.6927
   18.865-0.41      8        18.8918        -0.4636       276.7744       -12.6852
  18.868-0.282      1        18.8340        -0.2998       276.5982       -12.6600
  18.878-0.297      1        18.8728        -0.2955       276.6129       -12.6237
  18.878-0.297      2        18.8977        -0.2806       276.6113       -12.5947
  18.878-0.297      3        18.9044        -0.2765       276.6108       -12.5869
  18.886+0.068      1        18.8399        -0.0251       276.3521       -12.5267
  18.886+0.068      2        18.8738         0.0539       276.2968       -12.4598
  18.886+0.068      3        18.9138        -0.0177       276.3807       -12.4579
  18.886+0.068      4        18.9059        -0.0030       276.3636       -12.4580
  18.886+0.068      5        18.8605         0.0840       276.2632       -12.4575
  18.886+0.068      6        18.8846         0.0492       276.3062       -12.4524
  18.886+0.068      7        18.8895         0.0431       276.3141       -12.4509
  18.886+0.068      8        18.8835         0.0585       276.2973       -12.4490
  18.886+0.068      9        18.8955         0.0462       276.3141       -12.4442
  18.886+0.068     10        18.9277        -0.0145       276.3845       -12.4441
  18.886+0.068     11        18.8894         0.0577       276.3008       -12.4443
  18.886+0.068     12        18.9291         0.0222       276.3519       -12.4257
  18.886+0.068     13        18.9297         0.0457       276.3310       -12.4142
  18.886+0.068     14        18.9304         0.0828       276.2977       -12.3962
  18.888-0.476      1        18.8620        -0.4807       276.7757       -12.7195
  18.888-0.476      2        18.8862        -0.5088       276.8128       -12.7113
  18.888-0.476      3        18.8768        -0.4890       276.7903       -12.7103
  18.888-0.476      4        18.8786        -0.4663       276.7705       -12.6981
  18.888-0.476      5        18.8828        -0.4694       276.7753       -12.6959
  18.888-0.476      6        18.8889        -0.4742       276.7826       -12.6927
   18.89-0.434      1        18.9017        -0.4455       276.7627       -12.6680
  18.891+0.656      1        18.8899         0.6328       275.7809       -12.1746
  18.893+1.005      1        18.8444         1.0406       275.3908       -12.0233
  18.893+1.005      2        18.8512         1.0375       275.3969       -12.0188
  18.893+1.005      3        18.9087         1.0097       275.4496       -11.9810
  18.896-0.036      1        18.9153        -0.0263       276.3892       -12.4606
  18.896-0.036      2        18.9200        -0.0301       276.3950       -12.4582
  18.896-0.036      3        18.9138        -0.0177       276.3807       -12.4579
  18.896-0.036      4        18.9062        -0.0036       276.3643       -12.4580
  18.896-0.036      5        18.9268        -0.0385       276.4058       -12.4561
  18.896-0.036      6        18.9224        -0.0207       276.3876       -12.4517
  18.896-0.036      7        18.9325        -0.0243       276.3957       -12.4444
  18.896-0.036      8        18.9277        -0.0145       276.3845       -12.4441
  18.896-0.036      9        18.9212        -0.0026       276.3706       -12.4442
  18.896-0.036     10        18.9368        -0.0291       276.4021       -12.4428
